;"Alter;Einkommen;Preis;Geschlecht;Zeit;KundeNr"
265;"31;38149.0;46875.9;1.0;43.0;K0353"
266;"38;57891.0;73104.4;1.0;38.0;K0508"
267;"44;56488.0;99913.03;1.0;39.0;K0850"
268;"57;66341.0;85104.71;0.0;38.0;K0627"
269;"62;79285.0;121004.55;1.0;49.0;K0443"
270;"53;62592.0;93932.46;1.0;48.0;K0307"
271;"63;60374.0;92221.35;1.0;38.0;K0352"
272;"44;63671.0;102706.73;0.0;48.0;K0775"
273;"68;69381.0;102303.37;1.0;45.0;K0524"
274;"66;74011.0;116589.56;1.0;56.0;K0696"
275;"51;63650.0;95477.5;1.0;54.0;K1069"
276;"62;73034.0;104459.86;1.0;38.0;K0579"
277;"60;51150.0;94420.15;1.0;38.0;K0309"
278;"38;45935.0;76303.93;0.0;49.0;K0478"
279;"39;45873.0;75731.69;1.0;47.0;K0061"
280;"37;38116.0;77480.16;0.0;29.0;K0606"
281;"34;52606.0;83864.29;1.0;42.0;K0093"
282;"33;35069.0;43110.27;0.0;29.0;K0719"
283;"43;56948.0;67634.12;1.0;35.0;K0923"
284;"31;30362.0;34904.28;0.0;31.0;K0783"
285;"51;68806.0;98128.97;0.0;61.0;K0281"
286;"62;86770.0;112809.13;1.0;63.0;K0825"
287;"63;83693.0;119357.7;1.0;70.0;K0424"
288;"37;56641.0;59783.06;0.0;50.0;K0345"
289;"61;60160.0;100767.22;1.0;53.0;K0183"
290;"34;46577.0;71156.2;1.0;30.0;K0544"
291;"60;62903.0;125573.59;1.0;47.0;K0838"
292;"30;34125.0;46414.4;1.0;30.0;K0111"
293;"43;50963.0;76275.31;0.0;34.0;K0405"
294;"32;38008.0;59823.29;1.0;17.0;K0598"
295;"41;53363.0;75926.68;1.0;38.0;K0533"
296;"53;47966.0;73902.32;1.0;39.0;K0486"
297;"32;45461.0;69182.41;1.0;36.0;K0742"
298;"47;55494.0;83850.57;0.0;38.0;K0928"
299;"47;55524.0;67983.37;0.0;41.0;K0262"
300;"70;67872.0;114545.55;0.0;44.0;K0495"
301;"30;54381.0;83223.78;1.0;42.0;K0550"
302;"63;66597.0;83837.24;0.0;40.0;K0727"
303;"55;60489.0;105741.8;1.0;47.0;K1003"
304;"42;53324.0;79456.84;1.0;38.0;K0138"
305;"60;60911.0;97769.6;0.0;52.0;K0596"
306;"62;74323.0;103270.9;1.0;46.0;K0363"
307;"67;73888.0;111202.84;1.0;51.0;K0896"
308;"64;72974.0;106325.73;1.0;36.0;K0653"
309;"39;39225.0;83313.68;1.0;29.0;K0667"
310;"50;57036.0;95823.72;1.0;40.0;K0671"
311;"44;52043.0;72895.13;1.0;42.0;K0030"
312;"53;49798.0;61329.51;;39.0;K0166"
313;"62;96569.0;140745.65;0.0;80.0;K0249"
314;"58;59308.0;73667.3;0.0;50.0;K0308"
315;"43;50456.0;88108.0;1.0;34.0;K0785"
316;"48;61627.0;82405.97;1.0;53.0;K0669"
317;"64;63436.0;95562.13;0.0;45.0;K0337"
318;"30;55391.0;61951.79;0.0;39.0;K0868"
319;"38;54535.0;79772.26;1.0;49.0;K0765"
320;"58;49680.0;77792.44;0.0;43.0;K0452"
321;"41;39800.0;79421.65;1.0;45.0;K0410"
322;"42;41390.0;58786.52;1.0;34.0;K0675"
323;"50;69342.0;115292.51;0.0;42.0;K0583"
324;"37;66398.0;101131.52;1.0;46.0;K0066"
325;"42;59171.0;85183.22;1.0;52.0;K0491"
326;"41;42509.0;61738.05;0.0;37.0;K0984"
327;"34;24811.0;57541.73;1.0;12.0;K0395"
328;"69;76932.0;133380.54;1.0;48.0;K0255"
329;"51;48813.0;52577.91;0.0;28.0;K0800"
330;"61;49390.0;85180.08;0.0;33.0;K0313"
331;"30;50998.0;95539.65;1.0;38.0;K0888"
332;"47;55841.0;70169.26;1.0;60.0;K0222"
333;"30;24933.0;40285.18;0.0;26.0;K0236"
334;"57;58882.0;80802.02;1.0;48.0;K0436"
335;"41;49499.0;77389.91;1.0;34.0;K0602"
336;"66;82969.0;138621.96;0.0;62.0;K0306"
337;"53;44034.0;69020.15;1.0;40.0;K0479"
338;"62;65422.0;113261.61;1.0;48.0;K0650"
339;"56;84320.0;104544.82;1.0;62.0;K1049"
340;"53;63121.0;82460.27;0.0;49.0;K0250"
341;"39;40699.0;66612.75;1.0;34.0;K1038"
342;"45;45230.0;91201.91;0.0;32.0;K0584"
343;"47;56068.0;88529.55;1.0;52.0;K0072"
344;"70;94606.0;139830.32;1.0;58.0;K0095"
345;"50;47571.0;83365.24;0.0;39.0;K0034"
346;"39;54801.0;84900.44;0.0;42.0;K0722"
347;"54;55785.0;90085.01;1.0;38.0;K0260"
348;"35;32553.0;66814.09;0.0;19.0;K0205"
349;"55;65084.0;104045.73;1.0;38.0;K0778"
350;"52;61228.0;81411.98;0.0;55.0;K0694"
351;"59;78492.0;122336.16;1.0;56.0;K0768"
352;"44;46659.0;87048.58;1.0;36.0;K0078"
353;"37;48042.0;54313.59;1.0;36.0;K0085"
354;"36;60066.0;78126.13;1.0;36.0;K1064"
355;"53;58050.0;78625.3;1.0;37.0;K0083"
356;"35;48079.0;65670.65;0.0;39.0;K0828"
357;"34;29899.0;45878.08;0.0;24.0;K0527"
358;"61;56063.0;98148.54;1.0;44.0;K0679"
359;"48;34459.0;44237.57;1.0;43.0;K0922"
360;"45;47515.0;66554.21;0.0;40.0;K0434"
361;"61;68022.0;77134.04;1.0;67.0;K0428"
362;"46;54548.0;100672.01;1.0;58.0;K0536"
363;"57;65801.0;110519.86;0.0;41.0;K0351"
364;"36;36269.0;49092.44;0.0;37.0;K0951"
365;"68;93315.0;141822.38;1.0;69.0;K0006"
366;"62;100769.0;125018.41;0.0;71.0;K0311"
367;"37;55129.0;73887.77;1.0;53.0;K0549"
368;"66;62843.0;113812.63;1.0;53.0;K0105"
369;"38;47861.0;66834.88;0.0;37.0;K0098"
370;"45;46099.0;84552.86;0.0;41.0;K0605"
371;"55;64604.0;69621.64;0.0;38.0;K0869"
372;"62;81002.0;115409.9;1.0;54.0;K0315"
373;"45;46082.0;78379.94;0.0;34.0;K0514"
374;"58;75531.0;94646.93;1.0;50.0;K1059"
375;"43;37376.0;63383.29;1.0;42.0;K0063"
376;"51;57821.0;93565.3;1.0;43.0;K0282"
377;"46;44038.0;72625.61;1.0;34.0;K0723"
378;"70;84497.0;116193.41;1.0;69.0;K0267"
379;"56;55688.0;94116.03;0.0;49.0;K0561"
380;"66;65063.0;106463.24;1.0;56.0;K0239"
381;"34;53286.0;57023.34;1.0;40.0;K0430"
382;"57;42006.0;50508.57;0.0;32.0;K0146"
383;"52;58873.0;80225.35;1.0;39.0;K1031"
384;"63;73099.0;118236.17;1.0;51.0;K0651"
385;"38;33873.0;56924.35;0.0;28.0;K0623"
386;"43;43130.0;61803.14;0.0;35.0;K0119"
387;"33;43936.0;78850.36;1.0;45.0;K0676"
388;"34;39614.0;56174.25;1.0;26.0;K0515"
389;"40;46710.0;77768.25;0.0;38.0;K0251"
390;"30;45508.0;64916.89;1.0;38.0;K1073"
391;"37;38717.0;56575.12;0.0;34.0;K0286"
392;"66;98881.0;131352.24;1.0;64.0;K0546"
393;"40;43750.0;67687.0;1.0;28.0;K0010"
394;"52;67475.0;93897.2;1.0;37.0;K0458"
395;"34;43470.0;70250.0;1.0;41.0;K0197"
396;"40;39921.0;65687.09;1.0;45.0;K0731"
397;"64;90952.0;116583.47;0.0;61.0;K0371"
398;"38;46715.0;101650.7;1.0;50.0;K0082"
399;"54;75271.0;122250.09;1.0;60.0;K0390"
400;"52;63079.0;100733.46;1.0;46.0;K0529"
401;"48;63876.0;90833.08;1.0;51.0;K0590"
402;"48;54835.0;73324.94;1.0;52.0;K1086"
403;"49;69396.0;86666.48;0.0;52.0;K0993"
404;"61;79130.0;106664.4;1.0;49.0;K0240"
405;"50;32462.0;65554.28;1.0;30.0;K0414"
406;"55;54760.0;86038.6;0.0;45.0;K0212"
407;"34;24264.0;22580.44;1.0;19.0;K0859"
408;"68;1000000000.0;87209.72;0.0;52.0;K0701"
409;"42;52370.0;74270.35;0.0;48.0;K0576"
410;"52;90021.0;124563.89;1.0;64.0;K0228"
411;"58;80881.0;102290.11;1.0;33.0;K1019"
412;"56;68794.0;108744.79;1.0;57.0;K0621"
413;"52;53837.0;64750.35;1.0;22.0;K0487"
414;"35;48208.0;78096.44;1.0;50.0;K0948"
415;"31;45328.0;68156.01;0.0;39.0;K0178"
416;"70;82041.0;106587.98;1.0;44.0;K1067"
417;"42;34792.0;71876.74;1.0;27.0;K0539"
418;"58;73853.0;97928.13;1.0;50.0;K0136"
419;"64;81163.0;124639.62;0.0;60.0;K0589"
420;"69;79059.0;115211.31;0.0;53.0;K0450"
421;"39;39831.0;56301.97;1.0;41.0;K0808"
422;"39;37905.0;61717.86;1.0;32.0;K1101"
423;"52;60315.0;106359.99;1.0;40.0;K0008"
424;"61;64831.0;113585.7;0.0;35.0;K0437"
425;"42;63657.0;84814.32;1.0;40.0;K0156"
426;"44;14547.0;28960.3;1.0;29.0;K0708"
427;"51;55866.0;84704.04;0.0;35.0;K0358"
428;"55;56358.0;105656.62;0.0;49.0;K0645"
429;"30;49623.0;65451.53;1.0;42.0;K0224"
430;"46;67067.0;88579.71;1.0;45.0;K0330"
431;"43;49162.0;84864.12;0.0;43.0;K0594"
432;"31;33788.0;67174.26;0.0;28.0;K0543"
433;"69;87922.0;120453.26;0.0;54.0;K0929"
434;"33;51920.0;54310.26;0.0;38.0;K0555"
435;"37;45690.0;64971.82;1.0;34.0;K0683"
436;"61;64150.0;91908.79;0.0;47.0;K0747"
437;"31;19138.0;21471.65;0.0;37.0;K0845"
438;"55;79452.0;117307.67;1.0;49.0;K0990"
439;"50;42001.0;69941.72;1.0;29.0;K0697"
440;"49;63355.0;111931.58;1.0;45.0;K1066"
441;"67;73998.0;111198.78;1.0;55.0;K0704"
442;"60;61297.0;89077.09;1.0;39.0;K0558"
443;"69;75241.0;128050.39;1.0;44.0;K0932"
444;"56;79198.0;85437.96;1.0;54.0;K1051"
445;"41;53509.0;90805.35;0.0;37.0;K0441"
446;"46;64863.0;101644.17;0.0;45.0;K1052"
447;"57;76586.0;104976.08;1.0;45.0;K0847"
448;"55;68214.0;75900.15;0.0;47.0;K0801"
449;"66;67497.0;117195.91;1.0;55.0;K0164"
450;"60;49925.0;84170.57;0.0;39.0;K0229"
451;"36;48447.0;90879.99;1.0;45.0;K0786"
452;"40;46664.0;59309.97;1.0;36.0;K0873"
453;"32;43819.0;57548.45;1.0;47.0;K0213"
454;"66;88070.0;129089.55;1.0;53.0;K0915"
455;"54;54712.0;92084.38;1.0;35.0;K0080"
456;"40;53774.0;90227.44;1.0;37.0;K0149"
457;"35;44671.0;58157.49;1.0;34.0;K0303"
458;"63;47767.0;81512.67;0.0;53.0;K0761"
459;"39;46774.0;93641.06;1.0;40.0;K0995"
460;"33;52554.0;60796.8;0.0;34.0;K0738"
461;"58;63385.0;93077.19;0.0;41.0;K0718"
462;"49;63769.0;88665.28;1.0;41.0;K0044"
463;"39;36057.0;73098.28;1.0;32.0;K0969"
464;"68;80664.0;122681.63;0.0;63.0;K0134"
465;"66;62298.0;88092.7;1.0;53.0;K0666"
466;"58;48730.0;87338.42;1.0;34.0;K0746"
467;"52;60428.0;102443.11;0.0;43.0;K0600"
468;"50;53438.0;81140.06;1.0;50.0;K0312"
469;"34;25640.0;59338.04;0.0;27.0;K0409"
470;"52;59873.0;76854.89;1.0;39.0;K1077"
471;"34;47144.0;76527.76;1.0;50.0;K0970"
472;"69;62333.0;123546.58;0.0;32.0;K0678"
473;"54;64833.0;93686.46;1.0;54.0;K0940"
474;"58;68532.0;86666.09;0.0;51.0;K0979"
475;"39;35523.0;54246.76;1.0;36.0;K0971"
476;"68;89437.0;114481.9;1.0;62.0;K0001"
477;"65;73513.0;119578.06;1.0;43.0;K0423"
478;"44;51181.0;83060.06;1.0;33.0;K0361"
479;"52;59011.0;88150.0;1.0;45.0;K0383"
480;"47;60557.0;96808.99;0.0;49.0;K0317"
481;"54;43811.0;77794.39;1.0;45.0;K0926"
482;"39;45332.0;77782.69;0.0;24.0;K0476"
483;"49;56231.0;67307.08;0.0;33.0;K0846"
484;"62;67502.0;104564.5;1.0;43.0;K0965"
485;"58;64297.0;110338.33;1.0;56.0;K0530"
486;"31;31976.0;45789.83;1.0;33.0;K0635"
487;"46;46549.0;62984.61;0.0;43.0;K1065"
488;"51;56496.0;78599.02;1.0;49.0;K0141"
489;"68;57238.0;84306.46;1.0;54.0;K0173"
490;"39;28981.0;67912.67;1.0;28.0;K0451"
491;"42;49536.0;62506.44;0.0;39.0;K0126"
492;"56;61743.0;100812.37;1.0;41.0;K0542"
493;"39;31451.0;41728.39;1.0;27.0;K0562"
494;"34;41276.0;53961.89;1.0;33.0;K0661"
495;"47;48752.0;78207.23;0.0;38.0;K1048"
496;"64;63338.0;92846.99;1.0;39.0;K0091"
